# females	males
142	164
# females
# L	A	wt
14.9	6	0.5
16.0	5	0.5
16.1	6	0.5
16.2	6	0.5
16.9	5	0.5
16.9	6	0.5
17.1	6	0.5
17.1	6	0.5
17.6	6	0.5
18.1	6	0.5
18.2	7	0.5
18.2	8	0.5
18.4	7	0.5
18.4	8	0.5
18.5	7	0.5
19.0	6	0.5
19.0	6	0.5
19.1	7	0.5
19.3	9	0.5
19.4	10	0.5
19.6	6	0.5
20.0	7	0.5
21.8	10	0.5
22.5	9	0.5
22.5	10	0.5
23.2	11	0.5
23.7	11	0.5
24.1	15	0.5
24.7	8	0.5
24.8	14	0.5
25.1	14	0.5
25.2	10	0.5
25.4	10	0.5
25.5	11	0.5
26.8	11	0.5
26.8	16	0.5
27.7	10	0.5
27.9	14	0.5
28.1	14	0.5
28.2	14	0.5
28.2	18	0.5
28.3	14	0.5
28.5	16	0.5
29.0	16	0.5
29.1	15	0.5
29.2	14	0.5
29.2	17	0.5
29.7	16	0.5
29.8	21	0.5
29.9	13	0.5
30.1	19	0.5
30.2	15	0.5
30.2	17	0.5
30.3	21	0.5
30.4	14	0.5
30.6	15	0.5
30.9	17	0.5
31.2	17	0.5
31.5	17	0.5
31.8	17	0.5
31.8	18	0.5
32.2	16	0.5
32.3	18	0.5
32.3	20	0.5
32.4	17	0.5
32.6	18	0.5
32.7	17	0.5
33.2	17	0.5
33.4	13	0.5
33.6	16	0.5
33.8	18	0.5
33.9	19	0.5
34.2	23	0.5
34.2	24	0.5
34.6	20	0.5
34.7	25	0.5
34.9	20	0.5
34.9	25	0.5
35.0	22	0.5
35.1	19	0.5
35.2	28	0.5
35.3	21	0.5
35.4	22	0.5
35.6	18	0.5
35.6	19	0.5
35.7	23	0.5
35.7	25	0.5
35.8	22	0.5
35.8	24	0.5
35.9	19	0.5
35.9	21	0.5
35.9	21	0.5
36.2	18	0.5
36.3	19	0.5
36.3	20	0.5
36.4	20	0.5
36.4	27	0.5
36.8	21	0.5
37.0	22	0.5
37.0	25	0.5
37.4	22	0.5
37.4	23	0.5
37.5	16	0.5
37.5	23	0.5
37.5	28	0.5
37.6	22	0.5
37.7	24	0.5
37.8	21	0.5
37.9	28	0.5
38.2	24	0.5
38.3	23	0.5
38.7	25	0.5
38.9	43	0.5
39.0	37	0.5
39.1	32	0.5
39.6	32	0.5
39.7	21	0.5
39.7	26	0.5
40.3	42	0.5
40.5	27	0.5
40.9	21	0.5
40.9	26	0.5
41.2	28	0.5
41.4	26	0.5
41.4	31	0.5
42.3	28	0.5
42.7	47	0.5
42.8	29	0.5
43.8	35	0.5
44.1	50	0.5
45.2	30	0.5
45.2	37	0.5
45.4	52	0.5
45.9	54	0.5
46.0	51	0.5
46.6	42	0.5
46.8	41	0.5
47.6	65	0.5
49.5	71	0.5
50.6	74	0.5
51.3	86	0.5
56.6	74	0.5
# males
# L    A	wt
16.1	5	0.5
16.2	6	0.5
16.4	6	0.5
16.8	5	0.5
17.1	5	0.5
17.2	6	0.5
17.2	6	0.5
17.3	7	0.5
17.6	6	0.5
17.8	6	0.5
17.9	5	0.5
18.0	5	0.5
18.0	5	0.5
18.1	8	0.5
19.0	6	0.5
19.0	7	0.5
19.1	8	0.5
19.2	6	0.5
19.2	9	0.5
20.0	6	0.5
20.0	8	0.5
20.1	7	0.5
20.2	8	0.5
21.0	7	0.5
21.3	9	0.5
21.5	8	0.5
21.6	15	0.5
22.2	15	0.5
22.7	12	0.5
23.0	13	0.5
23.7	10	0.5
23.8	13	0.5
24.2	15	0.5
24.6	9	0.5
24.7	12	0.5
24.8	10	0.5
25.3	12	0.5
25.3	14	0.5
26.1	12	0.5
26.4	14	0.5
26.5	13	0.5
26.6	20	0.5
26.8	15	0.5
26.9	15	0.5
27.1	13	0.5
27.3	13	0.5
27.4	12	0.5
27.5	14	0.5
27.8	16	0.5
27.9	14	0.5
28.0	19	0.5
28.2	13	0.5
28.2	15	0.5
28.2	18	0.5
28.5	15	0.5
28.6	19	0.5
28.8	10	0.5
29.2	16	0.5
29.6	11	0.5
29.6	16	0.5
29.6	17	0.5
29.8	15	0.5
29.9	17	0.5
30.7	23	0.5
30.8	15	0.5
31.1	15	0.5
31.3	17	0.5
31.4	15	0.5
31.4	16	0.5
31.4	16	0.5
31.4	26	0.5
31.5	18	0.5
31.7	18	0.5
32.0	20	0.5
32.3	20	0.5
32.4	16	0.5
32.6	16	0.5
32.6	20	0.5
32.7	19	0.5
32.8	17	0.5
32.8	18	0.5
32.8	20	0.5
33.0	19	0.5
33.2	16	0.5
33.6	25	0.5
33.8	19	0.5
33.9	20	0.5
33.9	20	0.5
34.0	27	0.5
34.1	24	0.5
34.2	25	0.5
34.2	26	0.5
34.2	26	0.5
34.3	23	0.5
34.3	24	0.5
34.4	18	0.5
34.4	22	0.5
34.5	17	0.5
34.5	23	0.5
34.5	26	0.5
34.7	18	0.5
34.7	18	0.5
34.7	23	0.5
34.8	22	0.5
34.9	19	0.5
34.9	23	0.5
35.0	18	0.5
35.2	17	0.5
35.2	18	0.5
35.2	19	0.5
35.2	27	0.5
35.2	27	0.5
35.4	18	0.5
35.5	19	0.5
35.5	23	0.5
35.6	19	0.5
35.6	20	0.5
35.6	21	0.5
35.6	22	0.5
35.6	24	0.5
35.7	21	0.5
35.7	21	0.5
35.8	21	0.5
35.8	23	0.5
36.0	20	0.5
36.2	19	0.5
36.3	22	0.5
36.5	23	0.5
36.5	32	0.5
36.6	34	0.5
36.6	41	0.5
36.7	35	0.5
36.9	21	0.5
37.0	22	0.5
37.0	22	0.5
37.0	27	0.5
37.2	22	0.5
37.2	24	0.5
37.2	25	0.5
37.3	31	0.5
37.4	26	0.5
37.5	37	0.5
37.6	36	0.5
37.8	33	0.5
37.9	26	0.5
37.9	31	0.5
38.1	26	0.5
38.1	27	0.5
38.2	28	0.5
38.3	21	0.5
38.4	30	0.5
38.8	34	0.5
38.8	53	0.5
39.0	29	0.5
39.0	31	0.5
39.0	34	0.5
39.5	35	0.5
39.8	23	0.5
40.0	22	0.5
40.5	41	0.5
40.6	37	0.5
41.7	65	0.5
42.8	43	0.5
43.1	39	0.5
